Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Мазепа,Одарка,Костянтинівна,female,1945-04-23,Архітектор,місто Глобине,"парк Академіка Глушка, буд. 64 кв. 61, Яворів, 79924",295 95 31,cisaievych@example.net
Тичина,Едита,Володимирівна,female,1980-06-23,Менеджер з закупівель,місто Миронівка,"сквер Павла Шклярука, буд. 020 кв. 05, Бахмач, 06603",+380 53 384-98-26,handreiko@example.com
Хоменко,Ганна,Станіславівна,female,1939-04-10,Кадровий менеджер,місто Сновськ,"шосе 9-та Лінія Дачі Ковалевського, буд. 770 кв. 35, Кадіївка, 21472",089-14-56,odarka61@example.org
Бабиченко,Іван,Михайлович,male,1954-08-24,Інженер з якості,місто Новодружеськ,"шосе Азербайджан, буд. 28, Новий Калинів, 23206",015 71 92,miurchyshyn@example.org
Охріменко,Климент,Федорович,male,1954-10-25,Аудитор,хутір Чортків,"парк Кришталева, буд. 93, Моршин, 66214",+380 (54) 594-56-41,pchalenko@example.org
Засенко,Мілена,Юріївна,female,2000-01-07,Бухгалтер,місто Бережани,"шосе Дігтярна, буд. 1, Амвросіївка, 97255",+380 (00) 494-75-96,symonchaban@example.net
Рябець,Гаврило,Остапович,male,1972-04-26,Копірайтер,місто Саки ,"провулок Дубовий гай, буд. 6, Харків, 13874",+380 62 181-00-95,illia89@example.net
Петренко,Маруся,Олексіївна,female,1974-07-08,PR-менеджер,село Амвросіївка,"шосе Дачний 1-й, буд. 511 кв. 542, Хмільник, 10759",+380 45 583-40-20,rubanhanna@example.com
Медведенко,Яків,Іванович,male,1954-05-19,Менеджер з продажу,селище Білопілля,"шосе Оборони Ленінграду, буд. 23, Гірське, 48232",056 025 44 10,aieroshenko@example.com
Савенко,Вадим,Марківич,male,1988-12-24,PR-менеджер,місто Золоте,"площа Рельєфна, буд. 4, Чернівці, 91768",097-29-76,spas91@example.net
Павлик,Орхип,Тарасович,male,2005-09-06,Бухгалтер,хутір Ямпіль,"провулок Ширяївський, буд. 721, Каховка, 42549",+380 52 454-48-71,hanna13@example.com
Товстуха,Оксенія,Остапівна,female,1976-12-30,Бухгалтер,село Керч,"шосе Балтський 3-й, буд. 32 кв. 12, Алупка, 20021",507-56-23,babakiaroslav@example.net
Атаманюк,Панас,Мар'янович,male,1968-12-21,Фінансовий аналітик,місто Бершадь,"проспект Юхима Геллера, буд. 033, Прилуки, 11936",057 699 46 08,datsiukbohuslav@example.org
Панчук,Ігор,Вікторович,male,1962-05-20,PR-менеджер,село Докучаєвськ,"набережна Докова, буд. 97 кв. 5, Снятин, 34226",+380 45 259-19-36,bromanets@example.com
Павличенко,Ліза,Петрівна,female,1962-12-16,Асистент керівника,місто Алчевськ,"площа Туристська, буд. 1 кв. 03, Керч, 10021",442-40-89,amaliia60@example.com
Онуфрієнко,Миколай,Леонідович,male,1988-10-10,Аналітик даних,село Герца,"провулок Ватманський, буд. 5 кв. 8, Щастя , 35712",+380 (84) 666-46-33,darynaliashko@example.org
Овсієнко,Давид,Васильович,male,1955-06-15,PR-менеджер,селище Дружківка,"шосе Привозна, буд. 9, Довжанськ, 68687",054 69 21,huzmilena@example.net
Аврамчук,Ігнат,Олексійович,male,1948-02-23,Програміст,селище Запоріжжя,"проспект Сєрогодського, буд. 539, Голубівка, 12350",066 091 90 42,emiliianosachenko@example.net
Шило,Віталій,Борисович,male,1975-05-18,Менеджер з маркетингу,хутір Вараш,"парк Лавкова, буд. 21, Корець, 26482",074 51 01,anton33@example.com
Гуцуляк,Софія,Мар'янівна,female,1999-09-06,Архітектор,селище Городенка,"набережна Перлинна, буд. 961 кв. 606, Ізмаїл, 67749",+380 55 741-78-29,babakdavyd@example.net
Годунок,Емілія,Тимофіївна,female,1961-04-12,Дизайнер,хутір Краматорськ,"площа Дунаєвського 2-й, буд. 4 кв. 771, Гнівань, 20090",+380 22 312-60-61,lkovaliuk@example.net
Шведченко,Вікторія,Мар'янівна,female,1985-06-27,Тестувальник,місто Бібрка,"провулок Одарія, буд. 00 кв. 019, Бершадь, 88059",038 279-19-71,symon86@example.org
Хоменко,Пармен,Зеновійович,male,1954-02-01,Офіс-менеджер,селище Жмеринка,"шосе Перший Кришталевий, буд. 706, Сватове, 44658",+380 33 735 92 77,dzyndraalbina@example.org
Тригуб,Анастасія,Борисівна,female,1956-03-09,Інженер з якості,хутір Марганець ,"набережна Виноградна 3-тя, буд. 8 кв. 1, Косів, 17232",817 82 38,bvyshyvanyi@example.net
Ткаченко,Марина,Назарівна,female,2008-05-25,Кадровий менеджер,село Городок,"провулок Естонська, буд. 4, Олександрія, 33735",+380 42 593-07-11,havrylyshynvitalii@example.org
Ванченко,Соломія,Мар'янівна,female,1991-11-02,Тестувальник,село Тлумач,"узвіз Єлісаветинська, буд. 022, Судова Вишня, 94818",+380 05 852 29 46,rostyslavsaienko@example.com
Бабʼяк,Вікторія,Сергіївна,female,1953-03-10,Асистент керівника,село Саки ,"шосе Молодіжна, буд. 689 кв. 2, Миколаївка , 96111",795-16-34,iaroslav80@example.com
Онищенко,Надія,Григоріївна,female,1998-02-10,Кадровий менеджер,село Стрий,"вулиця Ялинкова, буд. 111 кв. 479, Пирятин, 92051",770 30 12,aronetszynovii@example.net
Демиденко,Остап,Костянтинович,male,1939-07-03,Менеджер з закупівель,хутір Середина-Буда,"вулиця Дніпропетровська дорога, буд. 9 кв. 3, Борзна, 13831",024 774-17-94,pylyptalan@example.org
Матяш,Юстим,Олегович,male,1963-10-10,Асистент керівника,селище Жидачів,"проспект Миколаївська дорога, буд. 45, Хуст, 48951",+380 (87) 852-91-65,vbaklan@example.com
Бабко,Єлисавета,Володимирівна,female,1982-07-01,Тестувальник,місто Сміла,"вулиця 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 6 кв. 944, Верхньодніпровськ, 58457",+380 25 979 15 70,ktychyna@example.org
Яремко,Владислав,Федорович,male,1984-06-23,Тестувальник,село Ходорів,"провулок Тупиковий 2-й, буд. 85 кв. 102, Монастирище, 27605",292 55 38,iakymenkoiakiv@example.net
Супруненко,Оксенія,Андріївна,female,1968-04-27,Кадровий менеджер,місто Кропивницький,"парк 19-й км Старокиївської дороги, буд. 565 кв. 19, Кам'янське, 96326",978-00-89,mariana01@example.com
Безбородько,Тереза,Тимофіївна,female,1970-11-06,Менеджер з продукту,місто Суходільськ,"сквер Ціолковського, буд. 83, Покровськ, 60819",+380 73 993-04-09,tkolodub@example.org
Гаврилець,Сергій,Зеновійович,male,1960-04-08,Тестувальник,село Южне,"шосе Дніпропетровська дорога, буд. 51, Монастириська, 41607",105-89-54,vadymtykhyi@example.org
Саєнко,Єлисавета,Петрівна,female,1973-02-13,Аудитор,село Ялта,"набережна Садиковська, буд. 71 кв. 7, Конотоп, 84104",713 25 55,pvenhrynovych@example.net
Бабій,Ігнат,Денисович,male,1998-06-21,Інженер з якості,село Новояворівськ,"проспект Травневий 5-й, буд. 342 кв. 3, Полонне, 15125",065 436 18 58,marusia54@example.net
Іваничук,Віра,Петрівна,female,1948-02-21,HR-менеджер,село Заводське,"набережна Квіткова, буд. 83, Кам'янка-Бузька, 49962",197 09 80,rkylymnyk@example.com
Рябошапка,Орхип,Петрович,male,1985-04-10,Дизайнер,місто Боково-Хрустальне,"проспект Кільовий, буд. 333 кв. 38, Токмак, 26673",046 635-67-69,irena00@example.com
Нестеренко,Богдан,Остапович,male,1944-11-17,Бухгалтер,селище Лисичанськ,"провулок Лермонтовський, буд. 25 кв. 98, Амвросіївка, 16743",736-55-06,myron70@example.com
Ґерус,Ірена,Юріївна,female,1951-06-27,Асистент керівника,місто Ясинувата,"парк Ляпідевського, буд. 1, Миколаїв, 12893",019 339-03-38,sirchenkoalbert@example.net
Парасюк,Герман,Тимофійович,male,1958-09-22,Архітектор,село Старий Самбір,"проспект Верхня, буд. 535 кв. 13, Батурин, 87654",007 434 12 50,chumachenkoleontii@example.net
Шаповал,Борислав,Марківич,male,1960-08-24,Інженер з якості,місто Ровеньки,"проспект Любашівський, буд. 2 кв. 67, Берислав, 73030",+380 (76) 851-35-05,tkachenkostefan@example.net
Рябченко,Орина,Денисівна,female,1998-07-31,Асистент керівника,селище Острог,"сквер Біляївська, буд. 292, Судова Вишня, 89463",895-56-25,jzaporozhets@example.com
Їжакевич,Віталій,Васильович,male,1992-12-04,PR-менеджер,хутір Моспине,"провулок 11-та Лінія Марії Демченко, буд. 355 кв. 22, Вишгород, 93130",061 774 92 03,oleksandr50@example.com
Гаврилець,Климент,Кирилович,male,1944-03-09,Офіс-менеджер,хутір Городенка,"набережна Вчительської, 2-й, буд. 33, Ладижин, 76737",+380 (89) 895-41-57,nazarhuz@example.org
Засядько,Франц,Григорійович,male,2005-12-14,Програміст,селище Батурин,"провулок Лінія 27-ма, буд. 97 кв. 9, Дружба , 37270",886 61 02,boleslav47@example.org
Ейбоженко,Дарина,Мар'янівна,female,1950-08-15,Аналітик даних,місто Переяслав,"набережна Чорноморський 12-й, буд. 17 кв. 02, Кагарлик, 21892",504-78-40,alevtynlubenets@example.net
Дахно,Мирослав,Денисович,male,1995-07-01,Офіс-менеджер,місто Шахтарськ,"площа Чорноморський 11-й, буд. 575, Білицьке, 49060",093 98 38,spasbebeshko@example.org
Левченко,Богданна,Тарасівна,female,1998-03-15,Менеджер з маркетингу,селище Болехів,"вулиця Лунний, буд. 89, Тернівка , 50876",149-97-64,demyd38@example.org
Авдєєнко,Теодор,Юрійович,male,1961-12-02,Кадровий менеджер,селище Судак ,"парк Геранієва, буд. 8, Лутугине, 75154",+380 (98) 126-06-96,osheremeta@example.net
Онищенко,Омелян,Павлович,male,1986-09-12,Аудитор,село Носівка,"вулиця Композитора Глинки, буд. 569, Буча, 87405",+380 30 062-38-21,bevzenkoihor@example.org
Шевченко,Алла,Остапівна,female,1938-09-18,Архітектор,селище Вишгород,"шосе Ковалевського, буд. 1, Кривий Ріг, 52158",200 47 58,valenkomaryna@example.com
Цюпа,Руслан,Геннадійович,male,1969-05-14,Фінансовий аналітик,селище Феодосія,"провулок Ляпідевського, буд. 2 кв. 41, Калуш, 84350",068 614 53 62,parmenromanchuk@example.org
Василенко,Микита,Захарович,male,1987-09-16,Копірайтер,село Тлумач,"шосе Мічуріна, буд. 610, Новомиргород, 47610",357 65 90,fdzhus@example.com
Чорновіл,Руслан,Леонідович,male,1977-04-26,Менеджер з маркетингу,селище Кременчук,"шосе Балтський 4-й, буд. 7, Хирів, 04196",+380 98 893-76-81,anastasiiatymchuk@example.com
Чайка,Максим,Данилович,male,1962-04-08,HR-менеджер,хутір Коростень,"парк Дунайська, буд. 008 кв. 52, Алчевськ, 71548",+380 46 121-21-08,qbarabash@example.com
Гайдамака,Марія,Олександрівна,female,1998-12-22,Дизайнер,хутір Конотоп,"площа Карантинний узвіз, буд. 351 кв. 3, Бурштин , 11684",091 209-61-33,pprotsenko@example.com
Луценко,Надія,Денисівна,female,1942-10-28,Кадровий менеджер,селище Балаклія,"вулиця Гоголя, буд. 239, Болград, 14272",+380 (60) 105-95-80,fedir15@example.net
Влох,Богодар,Васильович,male,1970-08-30,Фінансовий аналітик,хутір Молодогвардійськ,"вулиця Дерибасівська, буд. 7 кв. 741, Прип'ять , 06713",095 378-07-45,ielysavetahavryliv@example.com
Чумаченко,Леопольд,Павлович,male,1999-03-21,HR-менеджер,селище Херсон,"вулиця Павлова, буд. 527, Київ, 56539",010 854 92 97,operebyinis@example.com
Ватаманюк,Орина,Станіславівна,female,1981-09-20,Офіс-менеджер,хутір Новодністровськ,"провулок Астрономічна, буд. 165, Заводське, 83669",+380 59 556 68 09,skybaiosyp@example.com
Баранник,Орися,Вікторівна,female,1952-07-02,PR-менеджер,селище Полонне,"сквер Лінія 37-ма, буд. 373, Корсунь-Шевченківський, 31125",616-86-37,bliashko@example.net
Власюк,Єлисавета,Тимофіївна,female,2005-10-03,Асистент керівника,місто Голубівка,"сквер Басейний 1-й, буд. 2, Баранівка, 52416",107 15 72,vitaliiderehus@example.net
Рубан,Трохим,Костянтинович,male,1955-02-10,Менеджер з продажу,селище Хрестівка,"сквер Аеропортівський 6-й, буд. 08, Косів, 41483",038 941-13-83,liubov33@example.net
Дробʼязко,Владислав,Давидович,male,1950-01-12,PR-менеджер,село Біла Церква,"узвіз Кримський, буд. 731 кв. 71, Бурштин , 63849",404-95-36,kamillakybkalo@example.com
Акименко,Ірина,Андріївна,female,1985-03-13,Кадровий менеджер,хутір Кривий Ріг,"вулиця Селекційний, буд. 0, Залізне, 66833",+380 88 421-23-50,khrystynaandroshchuk@example.org
Вергун,Світлана,Володимирівна,female,1949-10-19,HR-менеджер,хутір Соснівка ,"провулок Благовидової, буд. 69 кв. 514, Чернігів, 50979",+380 90 217-51-28,sviatoslavaleksiichuk@example.net
Верменич,Ярослава,Олександрівна,female,1998-08-02,Асистент керівника,місто Алмазна,"набережна Черепанових 2-й, буд. 40 кв. 264, Судова Вишня, 86334",368-01-84,okhrim11@example.net
Стельмах,Віра,Марківна,female,1990-02-01,HR-менеджер,село Долина ,"шосе Магістральна, буд. 921 кв. 0, Горішні Плавні, 16712",050 101 16 52,solomonzhuravel@example.org
Засуха,Пріска,Ярославівна,female,1946-12-29,Системний адміністратор,хутір Карлівка,"вулиця Достоєвського, буд. 630 кв. 86, Ладижин, 57432",814 41 28,ilchenkoivan@example.org
Базавлученко,Максим,Костянтинович,male,1994-04-04,Архітектор,село Мелітополь,"вулиця Суднобудівний, буд. 31, Львів, 07889",052 257-92-54,ndanchenko@example.com
Сомко,Антон,Ігорович,male,1964-02-14,Програміст,хутір Тальне,"проспект Академіка Корольова, буд. 62, Погребище, 49236",+380 84 808 88 49,leopold94@example.com
Копитко,Соломон,Данилович,male,1948-06-03,Менеджер з закупівель,селище Зіньків,"узвіз Пересипська 5-та, буд. 75 кв. 8, Добромиль, 94388",016 431-68-34,kovaliukirena@example.com
Теличенко,Пантелеймон,Марківич,male,1996-07-27,Офіс-менеджер,селище Мелітополь,"парк Восьмого березня 7-й, буд. 174, Самбір, 50852",+380 84 490-98-27,vdovychenkopylyp@example.net
Сацюк,Веніямин,Михайлович,male,1966-02-13,Менеджер з продукту,місто Василівка ,"набережна Архітектурна, буд. 238, Ізмаїл, 03197",457-53-84,azaika@example.com
Сич,Єфрем,Станіславович,male,1946-06-14,Офіс-менеджер,село Вижниця,"сквер Студентський 3-й, буд. 8, Сєвєродонецьк, 36028",683 89 85,zorian85@example.net
Деревʼянко,Галина,Ігорівна,female,1943-09-21,Фінансовий аналітик,селище Нікополь,"шосе Нова, буд. 85, Збараж, 16081",+380 04 365-41-99,albertzabara@example.net
Шамрай,Ярослава,Володимирівна,female,1951-12-13,PR-менеджер,місто Ічня,"проспект Некрасова, буд. 5 кв. 8, Хрестівка, 12540",+380 94 666-74-67,mdziuba@example.com
Батюк,Алевтин,Євгенович,male,1974-03-23,Офіс-менеджер,село Тячів,"сквер Канатний, буд. 992 кв. 368, Запоріжжя, 31376",+380 95 799-58-29,semen86@example.org
Голобородько,Єфрем,Леонідович,male,2007-10-24,Фінансовий аналітик,село Старий Самбір,"сквер Десята, буд. 90 кв. 8, Коломия, 17458",417 76 59,oleshuk@example.com
Артимович,Остап,Остапович,male,1979-01-16,Кадровий менеджер,селище Курахове,"провулок Касима Юрія, буд. 39 кв. 18, Стрий, 31825",+380 22 135 05 24,hryhorii89@example.org
Христич,Святослав,Олегович,male,1947-12-19,Дизайнер,селище Хотин,"узвіз Олександра Стурдзи, буд. 35, Гнівань, 94121",+380 16 705-33-92,haidenkovalentyn@example.com
Дахно,Варвара,Петрівна,female,2008-08-11,Системний адміністратор,селище Амвросіївка,"площа Польський узвіз, буд. 2, Баранівка, 62524",+380 97 981-12-83,panteleimonzhuk@example.com
Шахрай,Богодар,Павлович,male,2000-05-24,Дизайнер,село Сторожинець,"узвіз Левкоєва, буд. 16 кв. 910, Очаків, 98661",+380 16 316-01-76,nfesenko@example.net
Масляк,Опанас,Іванович,male,1959-03-25,Архітектор,місто Волноваха,"вулиця Скляний 1-й, буд. 9 кв. 599, Пологи , 03463",033 210 23 55,shovkopliasanita@example.com
Мазепа,Галина,Павлівна,female,2001-04-23,PR-менеджер,селище Волноваха,"узвіз Небесної Сотні, буд. 289, Козятин, 31080",+380 59 166-39-26,eiaremko@example.net
Єрмоленко,Едита,Романівна,female,1986-12-28,Програміст,хутір Самбір,"парк 21-й км Старокиївської дороги, буд. 820, Підгайці, 04429",701-43-08,sviatoslava54@example.com
Скиба,Лариса,Петрівна,female,1961-04-16,Аналітик даних,хутір Христинівка,"шосе Восьмого березня 6-й, буд. 9 кв. 900, Комарно, 71190",+380 (13) 468-31-00,andreikoonysym@example.com
Тригуб,Валентин,Тимофійович,male,1944-03-04,Менеджер з продукту,хутір Жовква,"шосе Авангардна, буд. 596 кв. 02, Канів, 66256",088 278 00 49,fediriushchenko@example.net
Мірошниченко,Миколай,Станіславович,male,1976-03-25,Дизайнер,хутір Вуглегірськ,"сквер Студена, буд. 5, Кам'янське, 16008",041 856-81-84,revaiaryna@example.org
Євдокименко,Ярослава,Давидівна,female,1944-01-14,Менеджер з закупівель,хутір Переяслав,"узвіз Умова, буд. 03 кв. 7, Петрово-Красносілля, 51718",436 11 92,spas42@example.com
Гоголь,Герман,Павлович,male,2008-04-15,Фінансовий аналітик,місто Обухів,"набережна Кільовий, буд. 246 кв. 0, Чигирин, 38363",+380 18 620-65-23,rozaliianestaiko@example.net
Чуприна,Алла,Романівна,female,1975-12-07,Менеджер з продажу,хутір Збараж,"вулиця Дачна, буд. 804 кв. 663, Скадовськ, 45102",+380 36 406 22 20,ykovalenko@example.com
Аронець,Ірина,Григоріївна,female,2007-02-22,Інженер з якості,село Довжанськ,"провулок Кришталева, буд. 4 кв. 20, Вільногірськ, 37932",159 25 82,stefan12@example.org
Сірченко,Костянтин,Ігорович,male,1948-06-01,Асистент керівника,село Фастів,"парк Новоселів, буд. 0 кв. 375, Вовчанськ, 94712",071 406-90-59,davymukaavrelii@example.com
Акименко,Андрій,Давидович,male,1988-07-12,Копірайтер,село Лебедин,"вулиця Дача Ковалевського, буд. 7, Тлумач, 48735",099 867 13 43,anastasiia26@example.com
Бевзенко,Іван,Остапович,male,2005-12-05,Фінансовий аналітик,село Долинська,"площа Лиманний, буд. 6 кв. 22, Сорокине, 55622",+380 39 913 85 97,onysymdatsenko@example.net
Давимука,Богуслав,Іванович,male,2004-02-01,Аудитор,хутір Тисмениця,"парк Соляний 2-й, буд. 518 кв. 41, Новогродівка, 31187",834-04-42,trokhym96@example.net
Аверченко,Зиновій,Назарович,male,1965-12-12,Аналітик даних,місто Болград,"проспект Дунаєвського 2-й, буд. 87 кв. 909, Рубіжне, 06110",+380 21 180-28-03,dereviankofrants@example.com
Бгиденко,Данило,Ігорович,male,1954-01-31,HR-менеджер,місто Моршин,"площа Аграрна, буд. 393 кв. 5, Боярка, 11608",037 941 53 63,petrykoleh@example.org
Тихий,Маруся,Григоріївна,female,1969-08-30,Менеджер з маркетингу,селище Житомир,"провулок Лиманчик 2-й Лінія 2-га, буд. 0 кв. 81, Шпола, 12041",+380 75 777-84-76,bmamchur@example.org
Петлюра,Людмила,Захарівна,female,1977-07-12,Асистент керівника,селище Іллінці,"парк Соціальна, буд. 8 кв. 36, Золоте, 15134",011 933-27-06,vdankevych@example.org
Шутько,Адам,Денисович,male,1942-09-22,Фінансовий аналітик,хутір Буськ,"набережна Ланжерон, буд. 5, Хоростків, 41596",+380 09 959-37-63,fdzhus@example.net
Короленко,Станіслав,Остапович,male,1992-04-20,Інженер з якості,хутір Оріхів,"парк Кредитний, буд. 1, Здолбунів, 16142",+380 86 146 52 74,rostyslavkanivets@example.com
Жарко,Леон,Григорійович,male,1982-06-03,Менеджер з продажу,місто Ужгород,"площа Романтиків, буд. 3 кв. 82, Марганець , 77003",349-87-82,tetiana36@example.org
Хоменко,Симон,Тарасович,male,1950-06-30,Копірайтер,село Авдіївка,"вулиця Аеродромна, буд. 375, Мирноград, 57797",002 733-99-71,artymdaryna@example.net
Байрак,Мілена,Євгенівна,female,1948-11-16,Архітектор,хутір Новгород-Сіверський,"площа Новоселів, буд. 58 кв. 999, Брянка, 37318",099 314-62-51,veresliliia@example.org
Теличенко,Аврелій,Остапович,male,2003-05-18,Фінансовий аналітик,селище Мала Виска,"парк Деревообробний 5-й, буд. 16 кв. 95, Верхівцеве, 46507",+380 46 002-83-38,vyshniakleontii@example.net
Комар,Олег,Юрійович,male,1970-08-21,Тестувальник,хутір Валки ,"вулиця Новощіпний ряд, буд. 5 кв. 078, Вараш, 83422",+380 (07) 647-38-08,danna87@example.org
Зінченко,Петро,Євгенович,male,1989-11-25,Бухгалтер,місто Ровеньки,"узвіз Творча, буд. 629 кв. 8, Жидачів, 01097",534-50-33,iukhym67@example.com
Гайдамака,Богуслава,Ігорівна,female,1938-09-11,Інженер з якості,село Нове Давидково,"провулок Балтський 7-й, буд. 598, Погребище, 25807",+380 11 901-77-80,havrylozinchuk@example.com
Петрик,Гліб,Павлович,male,1986-07-04,PR-менеджер,село Лисичанськ,"набережна Наявний 7-й, буд. 9, Нововолинськ, 60397",076 067 14 12,dfranko@example.net
Єрмоленко,Алла,Тарасівна,female,1976-07-28,Менеджер з продажу,хутір Запоріжжя,"площа Лінія 32-га, буд. 61, Ізмаїл, 08164",064 410-45-63,viktor70@example.com
Рябошапка,Ярослава,Василівна,female,1986-06-28,Менеджер з маркетингу,хутір Південне ,"парк Монгольська, буд. 096 кв. 181, Новоазовськ, 42373",884-65-26,malykhordii@example.net
Вишняк,Алла,Григоріївна,female,2008-11-06,Системний адміністратор,місто Татарбунари,"парк Молоді, буд. 201 кв. 79, Монастириська, 42339",066 178 74 88,solomondeineko@example.org
Чарниш,Дмитро,Тарасович,male,1945-10-04,Аудитор,село Стебник,"шосе Лінійний, буд. 993, Докучаєвськ, 29253",859 55 83,wprymachenko@example.net
Черінько,Едита,Тарасівна,female,1970-02-21,Офіс-менеджер,село Курахове,"проспект Гладкова, буд. 709 кв. 78, Бучач, 16470",+380 42 359 67 05,cnazarenko@example.com
Ґжицький,Богуслав,Кирилович,male,2002-09-01,Програміст,хутір Іловайськ,"парк Олександра Вронського, буд. 6, Амвросіївка, 60020",074 192 01 79,panteleimonsimashkevych@example.com
Вітер,Спас,Романович,male,1998-03-06,Кадровий менеджер,місто Горішні Плавні,"узвіз Кедровий, буд. 224, Оріхів, 94125",035 422-36-18,zhuchenkoihnat@example.com
Баранник,Нестор,Олександрович,male,1981-07-19,Асистент керівника,село Мелітополь,"проспект Локомотивна, буд. 296, Волочиськ, 36625",+380 20 810-27-04,bohuslava78@example.com
Ванченко,Давид,Данилович,male,1974-11-13,Аудитор,місто П'ятихатки,"парк Виїзна, буд. 2, Світловодськ, 69479",128-15-31,bohuslava96@example.net
Демʼянчук,Семен,Васильович,male,1973-08-26,Кадровий менеджер,місто Рубіжне,"провулок Дніпровська, буд. 4, Хрестівка, 84045",514 62 65,ostapovsiienko@example.net
Шеремет,Борислав,Костянтинович,male,1945-04-10,Офіс-менеджер,хутір Рахів,"проспект Академіка Заболотного, буд. 94, Молодогвардійськ, 63987",086 487-14-04,iarema83@example.net
Демʼянчук,Арсен,Григорійович,male,1962-07-31,Офіс-менеджер,місто Вознесенівка,"набережна Естонський, буд. 926, Пологи , 61380",+380 55 907 88 44,vasyltovstukha@example.com
Бгиденко,Олекса,Григорійович,male,1972-08-07,Менеджер з закупівель,хутір Вугледар,"вулиця Каркашадзе, буд. 847, Сорокине, 47472",+380 (30) 899-96-36,qhodunok@example.com
Юрченко,Стефан,Петрович,male,1993-08-13,Тестувальник,місто Сватове,"узвіз Академіка Корольова, буд. 971 кв. 820, Яворів, 54824",+380 39 137 14 03,edytaduplii@example.net
Теличенко,Миколай,Тимофійович,male,1947-09-16,Менеджер з продажу,село Рені,"парк Світанку, буд. 1, Полонне, 80433",+380 (23) 796-25-85,pavlenkodemian@example.org
Бабʼюк,Вʼячеслав,Григорійович,male,1966-06-14,Менеджер з продукту,селище Пустомити,"парк Достоєвського, буд. 0, Ужгород, 91655",+380 (71) 322-82-04,rtereshchuk@example.org
Журавель,Олесь,Тарасович,male,1985-01-26,Системний адміністратор,селище Судова Вишня,"сквер 9-та Лінія Дачі Ковалевського, буд. 530, Хрестівка, 57542",053 428 75 52,demian17@example.net
Дацюк,Владислав,Геннадійович,male,2008-03-30,Бухгалтер,селище Устилуг,"проспект Рибальська, буд. 52, Бахчисарай, 24640",+380 90 592-93-23,shcherbakmilena@example.net
Конопленко,Данна,Романівна,female,1986-10-26,Офіс-менеджер,селище Севастополь,"вулиця Бокаріуса Миколи, буд. 864, Пологи , 10865",+380 56 278-51-80,aleksandrenkozlatoslava@example.com
Яременко,Владислав,Юрійович,male,1958-11-11,Менеджер з маркетингу,село Бучач,"проспект Жуковського, буд. 2 кв. 046, Мала Виска, 54632",+380 27 811 51 66,lshynkarenko@example.net
Бевз,Орест,Назарович,male,1949-03-22,Менеджер з продукту,село Соледар,"узвіз Ананьївська, буд. 068 кв. 036, Борзна, 31462",+380 07 080-57-41,iefrem49@example.net
Алексійчук,Олекса,Сергійович,male,1947-04-05,Бухгалтер,місто Залізне,"парк Василя Кандинського 2-й, буд. 70, Валки , 71077",008 131 42 51,dankoveniiamyn@example.com
Конопленко,Ярослав,Васильович,male,1972-06-29,Менеджер з продукту,хутір Жовква,"сквер Травневий 4-й, буд. 84, Молочанськ, 53663",000 504 94 36,vadym43@example.org
